name,id,code,shortName,Indicator,formName,domainType,valueType,aggregationoperator,fieldMask,categoryCombo.id,class,data,type,Inverse
[GC7/H-TNT/PSEAH-PB/COMM_PSEAH] % of programme beneficiaries at community level assessed as being at high/medium risk of SEAH[1] sensitized on PSEAH/SEAH including SEAH reporting channels,xdGSDfrDxup,GC7/H-TNT/PSEAH-PB/COMM_PSEAH/COVERAGE,GC7/H-TNT/PSEAH-PB/COMM_PSEAH/COVERAGE,% of programme beneficiaries at community level assessed as being at high/medium risk of SEAH sensitized on PSEAH/SEAH including SEAH reporting channels,LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,PSEAH,Comment,PSEAH,No
[GC7/H-TNT/PSEAH-PB/RES_PSEAH] % of programme beneficiaries at community level assessed as being at high/medium risk of SEAH[1] sensitized on PSEAH/SEAH including SEAH reporting channels,jc1olT64uu4,GC7/H-TNT/PSEAH-PB/RES_PSEAH/COVERAGE,GC7/H-TNT/PSEAH-PB/RES_PSEAH/COVERAGE,% of programme beneficiaries at community level assessed as being at high/medium risk of SEAH sensitized on PSEAH/SEAH including SEAH reporting channels,PERCENTAGE,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,PSEAH,Result,PSEAH,No
[GC7/H-TNT/PSEAH-PB/TAR_PSEAH] % of programme beneficiaries at community level assessed as being at high/medium risk of SEAH sensitized on PSEAH/SEAH including SEAH reporting channels,dLiMaGHVDLH,GC7/H-TNT/PSEAH-PB/TAR_PSEAH/COVERAGE,GC7/H-TNT/PSEAH-PB/TAR_PSEAH/COVERAGE,% of programme beneficiaries at community level assessed as being at high/medium risk of SEAH sensitized on PSEAH/SEAH including SEAH reporting channels,PERCENTAGE,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,PSEAH,Target,PSEAH,No
[GC7/H-TNT/PSEAH-PR/COMM_PSEAH] % of Principal Recipient (PR) Staff (including Interns and Volunteers) and Board Members Trained on PR PSEAH Policy and Signed Compliance Document Annually,LNqmYfgxHHB,GC7/H-TNT/PSEAH-PR/COMM_PSEAH/COVERAGE,GC7/H-TNT/PSEAH-PR/COMM_PSEAH/COVERAGE,% of Principal Recipient (PR) Staff (including Interns and Volunteers) and Board Members Trained on PR PSEAH Policy and Signed Compliance Document Annually,LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,PSEAH,Comment,PSEAH,No
[GC7/H-TNT/PSEAH-PR/RES_PSEAH] % of Principal Recipient (PR) Staff (including Interns and Volunteers) and Board Members Trained on PR PSEAH Policy and Signed Compliance Document Annually,JiuYDuG6Wj0,GC7/H-TNT/PSEAH-PR/RES_PSEAH/COVERAGE,GC7/H-TNT/PSEAH-PR/RES_PSEAH/COVERAGE,% of Principal Recipient (PR) Staff (including Interns and Volunteers) and Board Members Trained on PR PSEAH Policy and Signed Compliance Document Annually,PERCENTAGE,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,PSEAH,Result,PSEAH,No
[GC7/H-TNT/PSEAH-PR/TAR_PSEAH] % of Principal Recipient (PR) Staff (including Interns and Volunteers) and Board Members Trained on PR PSEAH Policy and Signed Compliance Document Annually,zd93yNAZ83G,GC7/H-TNT/PSEAH-PR/TAR_PSEAH/COVERAGE,GC7/H-TNT/PSEAH-PR/TAR_PSEAH/COVERAGE,% of Principal Recipient (PR) Staff (including Interns and Volunteers) and Board Members Trained on PR PSEAH Policy and Signed Compliance Document Annually,PERCENTAGE,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,PSEAH,Target,PSEAH,No
[GC7/H-TNT/PSEAH-SR/COMM_PSEAH] % of Sub-Recipient (SRs) whose Staff (including Interns and Volunteers) and Board Members Trained on PSEAH Policy and have Signed Compliance Document Annually,KoNVPb08kCC,GC7/H-TNT/PSEAH-SR/COMM_PSEAH/COVERAGE,GC7/H-TNT/PSEAH-SR/COMM_PSEAH/COVERAGE,% of Sub-Recipient (SRs) whose Staff (including Interns and Volunteers) and Board Members Trained on PSEAH Policy and have Signed Compliance Document Annually,LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,PSEAH,Comment,PSEAH,No
[GC7/H-TNT/PSEAH-SR/RES_PSEAH] % of Sub-Recipient (SRs) whose Staff (including Interns and Volunteers) and Board Members Trained on PSEAH Policy and have Signed Compliance Document Annually,GAWKpnbWOez,GC7/H-TNT/PSEAH-SR/RES_PSEAH/COVERAGE,GC7/H-TNT/PSEAH-SR/RES_PSEAH/COVERAGE,% of Sub-Recipient (SRs) whose Staff (including Interns and Volunteers) and Board Members Trained on PSEAH Policy and have Signed Compliance Document Annually,PERCENTAGE,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,PSEAH,Result,PSEAH,No
[GC7/H-TNT/PSEAH-SR/TAR_PSEAH] % of Sub-Recipient (SRs) whose Staff (including Interns and Volunteers) and Board Members Trained on PSEAH Policy and have Signed Compliance Document Annually,P8VvQT259lr,GC7/H-TNT/PSEAH-SR/TAR_PSEAH/COVERAGE,GC7/H-TNT/PSEAH-SR/TAR_PSEAH/COVERAGE,% of Sub-Recipient (SRs) whose Staff (including Interns and Volunteers) and Board Members Trained on PSEAH Policy and have Signed Compliance Document Annually,PERCENTAGE,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,PSEAH,Target,PSEAH,No
[GC7/H-TNT/PSEAH-ZT/COMM_PSEAH] % of Sub-Recipients (SRs) with PSEAH Policy highlighting Zero Tolerance of SEAH,hNC06xeXi70,GC7/H-TNT/PSEAH-ZT/COMM_PSEAH/COVERAGE,GC7/H-TNT/PSEAH-ZT/COMM_PSEAH/COVERAGE,% of Sub-Recipients (SRs) with PSEAH Policy highlighting Zero Tolerance of SEAH,LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,PSEAH,Comment,PSEAH,No
[GC7/H-TNT/PSEAH-ZT/RES_PSEAH] % of Sub-Recipients (SRs) with PSEAH Policy highlighting Zero Tolerance of SEAH,FIXo9oqXX2H,GC7/H-TNT/PSEAH-ZT/RES_PSEAH/COVERAGE,GC7/H-TNT/PSEAH-ZT/RES_PSEAH/COVERAGE,% of Sub-Recipients (SRs) with PSEAH Policy highlighting Zero Tolerance of SEAH,PERCENTAGE,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,PSEAH,Result,PSEAH,No
[GC7/H-TNT/PSEAH-ZT/TAR_PSEAH] % of Sub-Recipients (SRs) with PSEAH Policy highlighting Zero Tolerance of SEAH,fTQhR9XcRrU,GC7/H-TNT/PSEAH-ZT/TAR_PSEAH/COVERAGE,GC7/H-TNT/PSEAH-ZT/TAR_PSEAH/COVERAGE,% of Sub-Recipients (SRs) with PSEAH Policy highlighting Zero Tolerance of SEAH,PERCENTAGE,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,PSEAH,Target,PSEAH,No
"[GC7/H-TNT/RSSH O-3/COMMENT/OUTCOME] On-shelf availability: Percentage of facilities with tracer health products for the three diseases - HIV, TB, malaria (as applicable) available on the day of the visit or day of reporting",EQchMGEeWgk,GC7/H-TNT/COMMENT/RSSH O-3/COMMENT/OUTCOME,GC7/H-TNT/COMMENT/RSSH O-3/COMMENT/OUTCOME,"On-shelf availability: Percentage of facilities with tracer health products for the three diseases - HIV, TB, malaria (as applicable) available on the day of the visit or day of reporting",LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,Program,Comment,RSSH,No
"[GC7/H-TNT/RSSH O-3/RESULT/OUTCOME] On-shelf availability: Percentage of facilities with tracer health products for the three diseases - HIV, TB, malaria (as applicable) available on the day of the visit or day of reporting",cNzqdgXahDr,GC7/H-TNT/RESULT/RSSH O-3/RESULT/OUTCOME,GC7/H-TNT/RESULT/RSSH O-3/RESULT/OUTCOME,"On-shelf availability: Percentage of facilities with tracer health products for the three diseases - HIV, TB, malaria (as applicable) available on the day of the visit or day of reporting",NUMBER,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,Program,Result,RSSH,No
"[GC7/H-TNT/RSSH O-3/TARGET/OUTCOME] On-shelf availability: Percentage of facilities with tracer health products for the three diseases - HIV, TB, malaria (as applicable) available on the day of the visit or day of reporting",mDO7D6x9oFU,GC7/H-TNT/TARGET/RSSH O-3/TARGET/OUTCOME,GC7/H-TNT/TARGET/RSSH O-3/TARGET/OUTCOME,"On-shelf availability: Percentage of facilities with tracer health products for the three diseases - HIV, TB, malaria (as applicable) available on the day of the visit or day of reporting",NUMBER,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,Program,Target,RSSH,No
[GC7/H-TNT/RSSH/PP LAB-3/COMMENT/COVERAGE] Percentage of laboratories successfully participating in external quality assurance (EQA) or proficiency testing (PT) schemes.,pbC0cNZtQle,GC7/H-TNT/COMMENT/RSSH/PP LAB-3/COMMENT/COVERAGE,GC7/H-TNT/COMMENT/RSSH/PP LAB-3/COMMENT/COVERAGE,Percentage of laboratories successfully participating in external quality assurance (EQA) or proficiency testing (PT) schemes.,LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,Program,Comment,RSSH,No
[GC7/H-TNT/RSSH/PP LAB-3/RESULT/COVERAGE] Percentage of laboratories successfully participating in external quality assurance (EQA) or proficiency testing (PT) schemes.,ohtfuJqyvfs,GC7/H-TNT/RESULT/RSSH/PP LAB-3/RESULT/COVERAGE,GC7/H-TNT/RESULT/RSSH/PP LAB-3/RESULT/COVERAGE,Percentage of laboratories successfully participating in external quality assurance (EQA) or proficiency testing (PT) schemes.,NUMBER,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,Program,Result,RSSH,No
[GC7/H-TNT/RSSH/PP LAB-3/TARGET/COVERAGE] Percentage of laboratories successfully participating in external quality assurance (EQA) or proficiency testing (PT) schemes.,yIy5lNbpwvO,GC7/H-TNT/TARGET/RSSH/PP LAB-3/TARGET/COVERAGE,GC7/H-TNT/TARGET/RSSH/PP LAB-3/TARGET/COVERAGE,Percentage of laboratories successfully participating in external quality assurance (EQA) or proficiency testing (PT) schemes.,NUMBER,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,Program,Target,RSSH,No
[GC7/H-TNT/TB/HIV-3.1a/COMMENT/COVERAGE] Percentage of people living with HIV newly initiated on ART who were screened for TB,cosz84WnWCF,GC7/H-TNT/COMMENT/TB/HIV-3.1a/COMMENT/COVERAGE,GC7/H-TNT/COMMENT/TB/HIV-3.1a/COMMENT/COVERAGE,Percentage of people living with HIV newly initiated on ART who were screened for TB,LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,Program,Comment,Coverage,No
[GC7/H-TNT/TB/HIV-3.1a/RESULT/COVERAGE] Percentage of people living with HIV newly initiated on ART who were screened for TB,u8MqKSJMLo7,GC7/H-TNT/RESULT/TB/HIV-3.1a/RESULT/COVERAGE,GC7/H-TNT/RESULT/TB/HIV-3.1a/RESULT/COVERAGE,Percentage of people living with HIV newly initiated on ART who were screened for TB,NUMBER,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,Program,Result,Coverage,No
[GC7/H-TNT/TB/HIV-3.1a/TARGET/COVERAGE] Percentage of people living with HIV newly initiated on ART who were screened for TB,NLsmsgoecWr,GC7/H-TNT/TARGET/TB/HIV-3.1a/TARGET/COVERAGE,GC7/H-TNT/TARGET/TB/HIV-3.1a/TARGET/COVERAGE,Percentage of people living with HIV newly initiated on ART who were screened for TB,NUMBER,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,Program,Target,Coverage,No
[GC7/H-TNT/TB/HIV-7.1/COMMENT/COVERAGE] Percentage of people living with HIV currently enrolled on antiretroviral therapy who started TB preventive treatment (TPT) during the reporting period,Ka7uD31Ribu,GC7/H-TNT/COMMENT/TB/HIV-7.1/COMMENT/COVERAGE,GC7/H-TNT/COMMENT/TB/HIV-7.1/COMMENT/COVERAGE,Percentage of people living with HIV currently enrolled on antiretroviral therapy who started TB preventive treatment (TPT) during the reporting period,LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,Program,Comment,Coverage,No
[GC7/H-TNT/TB/HIV-7.1/RESULT/COVERAGE] Percentage of people living with HIV currently enrolled on antiretroviral therapy who started TB preventive treatment (TPT) during the reporting period,fWeywafKw3m,GC7/H-TNT/RESULT/TB/HIV-7.1/RESULT/COVERAGE,GC7/H-TNT/RESULT/TB/HIV-7.1/RESULT/COVERAGE,Percentage of people living with HIV currently enrolled on antiretroviral therapy who started TB preventive treatment (TPT) during the reporting period,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Program,Result,Coverage,No
[GC7/H-TNT/TB/HIV-7.1/TARGET/COVERAGE] Percentage of people living with HIV currently enrolled on antiretroviral therapy who started TB preventive treatment (TPT) during the reporting period,TnirZliWIav,GC7/H-TNT/TARGET/TB/HIV-7.1/TARGET/COVERAGE,GC7/H-TNT/TARGET/TB/HIV-7.1/TARGET/COVERAGE,Percentage of people living with HIV currently enrolled on antiretroviral therapy who started TB preventive treatment (TPT) during the reporting period,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Program,Target,Coverage,No
[GC7/H-TNT/TCS-1.1/COMMENT/COVERAGE] Percentage of people on ART among all people living with HIV at the end of the reporting period.,GVguxzsGm7M,GC7/H-TNT/COMMENT/TCS-1.1/COMMENT/COVERAGE,GC7/H-TNT/COMMENT/TCS-1.1/COMMENT/COVERAGE,Percentage of people on ART among all people living with HIV at the end of the reporting period.,LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,Program,Comment,Coverage,No
[GC7/H-TNT/TCS-1.1/RESULT/COVERAGE] Percentage of people on ART among all people living with HIV at the end of the reporting period.,ZHvXKks9e7p,GC7/H-TNT/RESULT/TCS-1.1/RESULT/COVERAGE,GC7/H-TNT/RESULT/TCS-1.1/RESULT/COVERAGE,Percentage of people on ART among all people living with HIV at the end of the reporting period.,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Program,Result,Coverage,No
[GC7/H-TNT/TCS-1.1/TARGET/COVERAGE] Percentage of people on ART among all people living with HIV at the end of the reporting period.,XqNJF8Zr1nW,GC7/H-TNT/TARGET/TCS-1.1/TARGET/COVERAGE,GC7/H-TNT/TARGET/TCS-1.1/TARGET/COVERAGE,Percentage of people on ART among all people living with HIV at the end of the reporting period.,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Program,Target,Coverage,No
[GC7/H-TNT/TCS-10/COMMENT/COVERAGE] Percentage of pregnant women living with HIV who received antiretroviral medicine to reduce the risk of vertical transmission of HIV,QwExyqF2irk,GC7/H-TNT/COMMENT/TCS-10/COMMENT/COVERAGE,GC7/H-TNT/COMMENT/TCS-10/COMMENT/COVERAGE,Percentage of pregnant women living with HIV who received antiretroviral medicine to reduce the risk of vertical transmission of HIV,LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,Program,Comment,Coverage,No
[GC7/H-TNT/TCS-10/RESULT/COVERAGE] Percentage of pregnant women living with HIV who received antiretroviral medicine to reduce the risk of vertical transmission of HIV,enr8JY02HAE,GC7/H-TNT/RESULT/TCS-10/RESULT/COVERAGE,GC7/H-TNT/RESULT/TCS-10/RESULT/COVERAGE,Percentage of pregnant women living with HIV who received antiretroviral medicine to reduce the risk of vertical transmission of HIV,NUMBER,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,Program,Result,Coverage,No
[GC7/H-TNT/TCS-10/TARGET/COVERAGE] Percentage of pregnant women living with HIV who received antiretroviral medicine to reduce the risk of vertical transmission of HIV,QEUFRdj1luB,GC7/H-TNT/TARGET/TCS-10/TARGET/COVERAGE,GC7/H-TNT/TARGET/TCS-10/TARGET/COVERAGE,Percentage of pregnant women living with HIV who received antiretroviral medicine to reduce the risk of vertical transmission of HIV,NUMBER,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,Program,Target,Coverage,No
[GC7/H-TNT/TCS-8/COMMENT/COVERAGE] Percentage of people living with HIV and on ART with viral load test result,JY3Vm61n0lh,GC7/H-TNT/COMMENT/TCS-8/COMMENT/COVERAGE,GC7/H-TNT/COMMENT/TCS-8/COMMENT/COVERAGE,Percentage of people living with HIV and on ART with viral load test result,LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,Program,Comment,Coverage,No
[GC7/H-TNT/TCS-8/RESULT/COVERAGE] Percentage of people living with HIV and on ART with viral load test result,gg50I5K2FpI,GC7/H-TNT/RESULT/TCS-8/RESULT/COVERAGE,GC7/H-TNT/RESULT/TCS-8/RESULT/COVERAGE,Percentage of people living with HIV and on ART with viral load test result,NUMBER,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,Program,Result,Coverage,No
[GC7/H-TNT/TCS-8/TARGET/COVERAGE] Percentage of people living with HIV and on ART with viral load test result,rWRxs3SIDzr,GC7/H-TNT/TARGET/TCS-8/TARGET/COVERAGE,GC7/H-TNT/TARGET/TCS-8/TARGET/COVERAGE,Percentage of people living with HIV and on ART with viral load test result,NUMBER,AGGREGATE,PERCENTAGE,,,bjDvmb4bfuf,Program,Target,Coverage,No
[GC7/H-TNT/TDF/3TC/DTG 300/300/50mg-AMC/RESULT/COMMODITIES] TDF/3TC/DTG 300/300/50mg AMC,HEPS1glTdSb,GC7/H-TNT/TDF/3TC/DTG 300/300/50mg-AMC/RESULT/COMM,GC7/H-TNT/TDF/3TC/DTG 300/300/50mg-AMC/RESULT/COMM,TDF/3TC/DTG 300/300/50mg AMC,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/H-TNT/TDF/3TC/DTG 300/300/50mg-BAL/RESULT/COMMODITIES] TDF/3TC/DTG 300/300/50mg Ending Balance,iEk49jTko3x,GC7/H-TNT/TDF/3TC/DTG 300/300/50mg-BAL/RESULT/COMM,GC7/H-TNT/TDF/3TC/DTG 300/300/50mg-BAL/RESULT/COMM,TDF/3TC/DTG 300/300/50mg Ending Balance,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/H-TNT/TDF/3TC/DTG 300/300/50mg-COMMENT/COMMENT/COMMODITIES] TDF/3TC/DTG 300/300/50mg Comments,S2fvtmlQ1u1,GC7/H-TNT/TDF/3TC/DTG 300/300/50mg-COMMENT/COMMENT,GC7/H-TNT/TDF/3TC/DTG 300/300/50mg-COMMENT/COMMENT,TDF/3TC/DTG 300/300/50mg Comments,LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,Products,Comment,,No
[GC7/H-TNT/TDF/3TC/DTG 300/300/50mg-PROC/RESULT/COMMODITIES] TDF/3TC/DTG 300/300/50mg Under Procurement,YheseudKJM3,GC7/H-TNT/TDF/3TC/DTG 300/300/50mg-PROC/RESULT/COM,GC7/H-TNT/TDF/3TC/DTG 300/300/50mg-PROC/RESULT/COM,TDF/3TC/DTG 300/300/50mg Under Procurement,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/H-TNT/TDF/3TC/DTG 300/300/50mg-SOR-D/RESULT/COMMODITIES] TDF/3TC/DTG 300/300/50mg SOR - Denominator,P4Io8vTb0yi,GC7/H-TNT/TDF/3TC/DTG 300/300/50mg-SOR-D/RESULT/CO,GC7/H-TNT/TDF/3TC/DTG 300/300/50mg-SOR-D/RESULT/CO,TDF/3TC/DTG 300/300/50mg SOR - Denominator,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/H-TNT/TDF/3TC/DTG 300/300/50mg-SOR-N/RESULT/COMMODITIES] TDF/3TC/DTG 300/300/50mg SOR - Numerator,INiKqw0etGE,GC7/H-TNT/TDF/3TC/DTG 300/300/50mg-SOR-N/RESULT/CO,GC7/H-TNT/TDF/3TC/DTG 300/300/50mg-SOR-N/RESULT/CO,TDF/3TC/DTG 300/300/50mg SOR - Numerator,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/H-TNT/TFD/FTC 300/200mg-AMC/RESULT/COMMODITIES] TFD/FTC 300/200mg AMC,zGZBIV3mQ86,GC7/H-TNT/TFD/FTC 300/200mg-AMC/RESULT/COMMODITIES,GC7/H-TNT/TFD/FTC 300/200mg-AMC/RESULT/COMMODITIES,TFD/FTC 300/200mg AMC,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/H-TNT/TFD/FTC 300/200mg-BAL/RESULT/COMMODITIES] TFD/FTC 300/200mg Ending Balance,uFoF8liD4fr,GC7/H-TNT/TFD/FTC 300/200mg-BAL/RESULT/COMMODITIES,GC7/H-TNT/TFD/FTC 300/200mg-BAL/RESULT/COMMODITIES,TFD/FTC 300/200mg Ending Balance,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/H-TNT/TFD/FTC 300/200mg-COMMENT/COMMENT/COMMODITIES] TFD/FTC 300/200mg Comments,rrbTxyntCw2,GC7/H-TNT/TFD/FTC 300/200mg-COMMENT/COMMENT/COMMOD,GC7/H-TNT/TFD/FTC 300/200mg-COMMENT/COMMENT/COMMOD,TFD/FTC 300/200mg Comments,LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,Products,Comment,,No
[GC7/H-TNT/TFD/FTC 300/200mg-PROC/RESULT/COMMODITIES] TFD/FTC 300/200mg Under Procurement,NXritRlb9K4,GC7/H-TNT/TFD/FTC 300/200mg-PROC/RESULT/COMMODITIE,GC7/H-TNT/TFD/FTC 300/200mg-PROC/RESULT/COMMODITIE,TFD/FTC 300/200mg Under Procurement,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/H-TNT/TFD/FTC 300/200mg-SOR-D/RESULT/COMMODITIES] TFD/FTC 300/200mg SOR - Denominator,v8RKVCNJ6qA,GC7/H-TNT/TFD/FTC 300/200mg-SOR-D/RESULT/COMMODITI,GC7/H-TNT/TFD/FTC 300/200mg-SOR-D/RESULT/COMMODITI,TFD/FTC 300/200mg SOR - Denominator,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/H-TNT/TFD/FTC 300/200mg-SOR-N/RESULT/COMMODITIES] TFD/FTC 300/200mg SOR - Numerator,spdW96DTHbG,GC7/H-TNT/TFD/FTC 300/200mg-SOR-N/RESULT/COMMODITI,GC7/H-TNT/TFD/FTC 300/200mg-SOR-N/RESULT/COMMODITI,TFD/FTC 300/200mg SOR - Numerator,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/H-TNT/Test 1 (Determine/Trinscreen)-AMC/RESULT/COMMODITIES] Test 1 (Determine/Trinscreen) AMC,rRvlXJ5yqtX,GC7/H-TNT/Test 1 (Determine/Trinscreen)-AMC/RESULT,GC7/H-TNT/Test 1 (Determine/Trinscreen)-AMC/RESULT,Test 1 (Determine/Trinscreen) AMC,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/H-TNT/Test 1 (Determine/Trinscreen)-BAL/RESULT/COMMODITIES] Test 1 (Determine/Trinscreen) Ending Balance,jIDoqcxg2Ks,GC7/H-TNT/Test 1 (Determine/Trinscreen)-BAL/RESULT,GC7/H-TNT/Test 1 (Determine/Trinscreen)-BAL/RESULT,Test 1 (Determine/Trinscreen) Ending Balance,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/H-TNT/Test 1 (Determine/Trinscreen)-COMMENT/COMMENT/COMMODITIES] Test 1 (Determine/Trinscreen) Comments,a19tPJUw7r3,GC7/H-TNT/Test 1 (Determine/Trinscreen)-COMMENT/CO,GC7/H-TNT/Test 1 (Determine/Trinscreen)-COMMENT/CO,Test 1 (Determine/Trinscreen) Comments,LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,Products,Comment,,No
[GC7/H-TNT/Test 1 (Determine/Trinscreen)-PROC/RESULT/COMMODITIES] Test 1 (Determine/Trinscreen) Under Procurement,JRbbSiHps6P,GC7/H-TNT/Test 1 (Determine/Trinscreen)-PROC/RESUL,GC7/H-TNT/Test 1 (Determine/Trinscreen)-PROC/RESUL,Test 1 (Determine/Trinscreen) Under Procurement,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/H-TNT/Test 1 (Determine/Trinscreen)-SOR-D/RESULT/COMMODITIES] Test 1 (Determine/Trinscreen) SOR - Denominator,ZxFdbF3To6N,GC7/H-TNT/Test 1 (Determine/Trinscreen)-SOR-D/RESU,GC7/H-TNT/Test 1 (Determine/Trinscreen)-SOR-D/RESU,Test 1 (Determine/Trinscreen) SOR - Denominator,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/H-TNT/Test 1 (Determine/Trinscreen)-SOR-N/RESULT/COMMODITIES] Test 1 (Determine/Trinscreen) SOR - Numerator,bajDhuPB4DY,GC7/H-TNT/Test 1 (Determine/Trinscreen)-SOR-N/RESU,GC7/H-TNT/Test 1 (Determine/Trinscreen)-SOR-N/RESU,Test 1 (Determine/Trinscreen) SOR - Numerator,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/H-TNT/VL – Quantitative (Abbott)-AMC/RESULT/COMMODITIES] VL – Quantitative (Abbott) AMC,MIW2URrweI8,GC7/H-TNT/VL – Quantitative (Abbott)-AMC/RESULT/CO,GC7/H-TNT/VL – Quantitative (Abbott)-AMC/RESULT/CO,VL – Quantitative (Abbott) AMC,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/H-TNT/VL – Quantitative (Abbott)-BAL/RESULT/COMMODITIES] VL – Quantitative (Abbott) Ending Balance,i0Ad3vsOMJ9,GC7/H-TNT/VL – Quantitative (Abbott)-BAL/RESULT/CO,GC7/H-TNT/VL – Quantitative (Abbott)-BAL/RESULT/CO,VL – Quantitative (Abbott) Ending Balance,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/H-TNT/VL – Quantitative (Abbott)-COMMENT/COMMENT/COMMODITIES] VL – Quantitative (Abbott) Comments,cFyEoIxo2UY,GC7/H-TNT/VL – Quantitative (Abbott)-COMMENT/COMME,GC7/H-TNT/VL – Quantitative (Abbott)-COMMENT/COMME,VL – Quantitative (Abbott) Comments,LONG_TEXT,AGGREGATE,LONG_TEXT,,,bjDvmb4bfuf,Products,Comment,,No
[GC7/H-TNT/VL – Quantitative (Abbott)-PROC/RESULT/COMMODITIES] VL – Quantitative (Abbott) Under Procurement,b9l9xJtBaqG,GC7/H-TNT/VL – Quantitative (Abbott)-PROC/RESULT,GC7/H-TNT/VL – Quantitative (Abbott)-PROC/RESULT,VL – Quantitative (Abbott) Under Procurement,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
[GC7/H-TNT/VL – Quantitative (Abbott)-SOR-D/RESULT/COMMODITIES] VL – Quantitative (Abbott) SOR - Denominator,Q2Ce5WHFvgO,GC7/H-TNT/VL – Quantitative (Abbott)-SOR-D/RESULT,GC7/H-TNT/VL – Quantitative (Abbott)-SOR-D/RESULT,VL – Quantitative (Abbott) SOR - Denominator,NUMBER,AGGREGATE,NUMBER,,,bjDvmb4bfuf,Products,Result,,No
